Planet Name,Host Name,Number of Stars,Number of Planets,Discovery Method,Discovery Year,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Jupiter Mass],Equilibrium Temperature [K],Insolation Flux [Earth Flux],Planet Density [g/cm**3],Eccentricity,Impact Parameter,Ratio of Semi-Major Axis to Stellar Radius,habitability_score
HD 23472 f,HD 23472,1,5,Transit,2022,12.1621839,1.137,0.77,0.00242,630.0,26.3,3.0,0.07,0.57,28.0,0.44778997012604405
TOI-125 d,TOI-125,1,3,Transit,2020,19.98,2.93,13.6,0.04279,638.0,26.7,2.98,0.168,0.652,34.77,0.42563751683102397
L 98-59 d,L 98-59,1,4,Transit,2019,7.4507245,1.521,1.94,0.0061,416.0,5.01,2.95,0.074,0.922,33.7,0.4686319517032225
K2-199 c,K2-199,1,2,Transit,2018,7.3744897,2.85,12.4,0.03901,694.0,38.6,2.9,0.03,0.49,20.96,0.45405335958051224
HD 5278 b,HD 5278,1,2,Transit,2021,14.339156,2.45,7.8,0.02454,943.0,132.0,2.9,0.08,0.27,22.4,0.4624160602237148
HD 136352 d,HD 136352,1,3,Radial Velocity,2019,107.245,2.562,8.82,0.02775,431.0,5.74,2.87811,0.0,0.41,86.46,0.5330379022945315
TOI-1470 c,TOI-1470,1,2,Transit,2023,18.08816,2.47,7.24,0.02278,373.0,3.35,2.66,0.5,0.47,48.46,0.48177620806032884
TOI-2134 b,TOI-2134,1,2,Transit,2023,9.2292005,2.69,9.13,0.02873,666.0,32.0,2.607,0.06,0.21,23.66,0.4740392288376709
HD 73583 b,HD 73583,1,2,Transit,2022,6.398042,2.79,10.2,0.03209,714.0,43.3,2.58,0.09,0.566,19.98,0.4298487411222747
HATS-76 b,HATS-76,1,1,Transit,2021,1.9416423,12.094,835.57088,2.629,940.0,129.8,2.58,0.062,0.281,9.12,0.4551325228784107
TOI-125 b,TOI-125,1,3,Transit,2019,4.65382,2.726,9.5,0.02989,1037.0,185.0,2.57,0.194,0.27,13.16,0.43617745836014643
HD 136352 c,HD 136352,1,3,Radial Velocity,2019,27.59221,2.916,11.24,0.03536,677.0,35.1,2.49767,0.0,0.872,34.97,0.4160450801089006
HATS-61 b,HATS-61,1,1,Transit,2018,7.817953,13.395,1080.622,3.4,1226.0,374.2,2.47,0.092,0.508,10.23,0.424274226457408
TOI-1201 b,TOI-1201,2,1,Transit,2021,2.4919863,2.415,6.28,0.01976,703.0,40.6,2.45,0.0,0.404,12.23,0.4561513982636314
HATS-66 b,HATS-66,1,1,Transit,2018,3.1414391,15.816,1694.0339,5.33,1998.0,2637.0,2.34,0.064,0.283,5.5,0.44690261471402937
TOI-2015 b,TOI-2015,1,1,Transit,2023,3.348968,3.39,16.4,0.0516,512.0,11.47,2.32,0.0,0.696,19.46,0.4478027924916605
TOI-2384 b,TOI-2384,1,1,Transit,2024,2.13570304,11.489,624.85065,1.966,890.0,104.3,2.26,0.0,0.28,9.82,0.4593573833653809
GJ 1214 b,GJ 1214,1,1,Transit,2009,1.58040453,2.733,8.41,0.02646,567.0,17.2,2.26,0.0062,0.264,14.97,0.4779729217850226
K2-266 e,K2-266,2,4,Transit,2018,19.482,2.73,14.3,0.04499,490.0,9.58,2.21,0.043,0.36,38.2,0.4827532642188496
TOI-1260 d,TOI-1260,1,3,Transit,2022,16.608164,3.12,11.84,0.03725,499.0,10.32,2.14,0.0,0.53,35.69,0.46782704312311096
TIC 139270665 b,TIC 139270665,1,2,Transit,2024,23.624,7.23,147.15455,0.463,703.0,40.3,2.13,0.105,0.16,34.5,0.4634265963047632
TOI-4791 b,TOI-4791,1,1,Transit,2023,4.28088,12.442,734.18362,2.31,1472.0,783.2,2.09,0.0,0.657,8.46,0.4155073989615479
K2-100 b,K2-100,1,1,Transit,2016,1.6739035,3.88,21.8,0.06859,1841.0,1915.0,2.04,0.0,0.791,5.21,0.40039907043650447
